,sample_id,mouse_id,strain,genotype,treatment,age,sex,organ,suborgan,sampletype,microbiome,passage,batch,prep,filename
3311-ProxColon,3311-ProxColon,3311,129svev,WT,None,9,F,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,3311-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
3311-Spleen,3311-Spleen,3311,129svev,WT,None,9,F,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,3311-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
3389-ProxColon,3389-ProxColon,3389,129svev,WT,None,9,M,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,3389-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
3389-Spleen,3389-Spleen,3389,129svev,WT,None,9,M,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,3389-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4431-ProxColon,4431-ProxColon,4431,129svev,WT,None,4,F,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,4431-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4431-Spleen,4431-Spleen,4431,129svev,WT,None,4,F,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,4431-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4434-ProxColon,4434-ProxColon,4434,129svev,WT,None,4,M,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,4434-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4434-Spleen,4434-Spleen,4434,129svev,WT,None,4,M,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,4434-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
Young-BR-1,Young-BR-1,NA,c57bl6,Lgr5,None,4,NA,BR,BR,normal,wt,NA,2020_gf_pilot,HV,Young-BR-1_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
Young-BR-2,Young-BR-2,NA,c57bl6,Lgr5,None,4,NA,BR,BR,normal,wt,NA,2020_gf_pilot,HV,Young-BR-2_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_1,distal_M_1,1,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_1_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_1,distal_T_1,1,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_1_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_1,prox_M_1,1,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_1_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_2,distal_M_2,2,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_2_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_2,distal_T_2,2,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_2_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_2,prox_M_2,2,129svev,ApcMin/IL10KO,None,6,F,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_2_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_3,distal_M_3,3,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_3_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_3,distal_T_3,3,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_3_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_3,prox_M_3,3,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_3_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
